,importance
roll_min_168,2635.0
roll_max_168,2624.0
roll_mean_168,2202.0
roll_std_168,2167.0
wind_direction_10m,1888.0
roll_min_24,1846.0
wind_speed_10m_mean24,1706.0
month,1585.0
roll_max_24,1481.0
relative_humidity_2m_mean24,1420.0
cloudcover_mean24,1384.0
dew_point_2m_mean24,1211.0
apparent_temperature,1192.0
fourier_w_1,1191.0
temperature_2m_mean24,1163.0
apparent_temperature_mean24,1097.0
precipitation_mean24,1058.0
roll_mean_24,1029.0
fourier_w_0,1001.0
fourier_w_2,926.0
wind_speed_10m,846.0
lag_168,798.0
temperature_2m,683.0
dew_point_2m,679.0
roll_std_24,678.0
fourier_d_1,661.0
lag_72,607.0
wind_speed_10m_lag1,557.0
dow,555.0
fourier_w_5,533.0
roll_max_3,515.0
fourier_d_0,497.0
fourier_w_4,479.0
roll_mean_3,440.0
lag_48,430.0
fourier_w_3,421.0
roll_min_3,420.0
apparent_temperature_lag1,416.0
dew_point_2m_lag1,412.0
cloudcover,380.0
roll_std_3,343.0
hour,338.0
temperature_2m_lag1,327.0
lag_24,276.0
relative_humidity_2m_lag1,276.0
relative_humidity_2m,260.0
weathercode,257.0
cloudcover_lag1,206.0
lag_1,205.0
fourier_d_2,202.0
fourier_d_3,164.0
precipitation,100.0
precipitation_lag1,78.0
fourier_d_4,36.0
fourier_d_5,32.0
is_weekend,6.0
