y_true,y_pred_lgbm,y_pred_baseline
12214.0,0.0,
11597.0,0.0,
11273.0,0.0,
11119.0,0.0,
11064.0,0.0,
11356.0,0.0,
11733.0,0.0,
12495.0,0.0,
13063.0,0.0,
13630.0,0.0,
13840.0,0.0,
13905.0,0.0,
13818.0,0.0,
13753.0,0.0,
13579.0,0.0,
13551.0,0.0,
13509.0,0.0,
13498.0,0.0,
13557.0,0.0,
14122.0,0.0,
14094.0,0.0,
13600.0,0.0,
12956.0,0.0,
12096.0,0.0,
11269.0,0.0,12214.0
10782.0,0.0,11597.0
10580.0,0.0,11273.0
10446.0,0.0,11119.0
10426.0,0.0,11064.0
10468.0,0.0,11356.0
10862.0,0.0,11733.0
11250.0,0.0,12495.0
11823.0,0.0,13063.0
12362.0,0.0,13630.0
12682.0,0.0,13840.0
12825.0,0.0,13905.0
12931.0,0.0,13818.0
13015.0,0.0,13753.0
12967.0,0.0,13579.0
12954.0,0.0,13551.0
13031.0,0.0,13509.0
13136.0,0.0,13498.0
13247.0,0.0,13557.0
14066.0,0.0,14122.0
14162.0,0.0,14094.0
13770.0,0.0,13600.0
13099.0,0.0,12956.0
12346.0,0.0,12096.0
11907.0,0.0,11269.0
11614.0,0.0,10782.0
11581.0,0.0,10580.0
11514.0,0.0,10446.0
11761.0,0.0,10426.0
12558.0,0.0,10468.0
14103.0,0.0,10862.0
15277.0,0.0,11250.0
15421.0,0.0,11823.0
15501.0,0.0,12362.0
15609.0,0.0,12682.0
15554.0,0.0,12825.0
15366.0,0.0,12931.0
15365.0,0.0,13015.0
15370.0,0.0,12967.0
15217.0,0.0,12954.0
15133.0,0.0,13031.0
15059.0,0.0,13136.0
15128.0,0.0,13247.0
15995.0,0.0,14066.0
15981.0,0.0,14162.0
15417.0,0.0,13770.0
14417.0,0.0,13099.0
13402.0,0.0,12346.0
12618.0,0.0,11907.0
12277.0,0.0,11614.0
12051.0,0.0,11581.0
12052.0,0.0,11514.0
12239.0,0.0,11761.0
13072.0,0.0,12558.0
14685.0,0.0,14103.0
15784.0,0.0,15277.0
15851.0,0.0,15421.0
15846.0,0.0,15501.0
15730.0,0.0,15609.0
15551.0,0.0,15554.0
15484.0,0.0,15366.0
15481.0,0.0,15365.0
15381.0,0.0,15370.0
15343.0,0.0,15217.0
15231.0,0.0,15133.0
15119.0,0.0,15059.0
15333.0,0.0,15128.0
16068.0,0.0,15995.0
16067.0,0.0,15981.0
15528.0,0.0,15417.0
14565.0,0.0,14417.0
13465.0,0.0,13402.0
12704.0,0.0,12618.0
12261.0,0.0,12277.0
11970.0,0.0,12051.0
11862.0,0.0,12052.0
11918.0,0.0,12239.0
12561.0,0.0,13072.0
14084.0,0.0,14685.0
15137.0,0.0,15784.0
15177.0,0.0,15851.0
15211.0,0.0,15846.0
15410.0,0.0,15730.0
15457.0,0.0,15551.0
15387.0,0.0,15484.0
15540.0,0.0,15481.0
15362.0,0.0,15381.0
15248.0,0.0,15343.0
15267.0,0.0,15231.0
15342.0,0.0,15119.0
15570.0,0.0,15333.0
16136.0,0.0,16068.0
15973.0,0.0,16067.0
15457.0,0.0,15528.0
14407.0,0.0,14565.0
13502.0,0.0,13465.0
12685.0,0.0,12704.0
12203.0,0.0,12261.0
11849.0,0.0,11970.0
11744.0,0.0,11862.0
11976.0,0.0,11918.0
12570.0,0.0,12561.0
14110.0,0.0,14084.0
15291.0,0.0,15137.0
15455.0,0.0,15177.0
15558.0,0.0,15211.0
15572.0,0.0,15410.0
15603.0,0.0,15457.0
15540.0,0.0,15387.0
15562.0,0.0,15540.0
15373.0,0.0,15362.0
15215.0,0.0,15248.0
15147.0,0.0,15267.0
15180.0,0.0,15342.0
15404.0,0.0,15570.0
16129.0,0.0,16136.0
15940.0,0.0,15973.0
15464.0,0.0,15457.0
14544.0,0.0,14407.0
13564.0,0.0,13502.0
12766.0,0.0,12685.0
12159.0,0.0,12203.0
11972.0,0.0,11849.0
11867.0,0.0,11744.0
12021.0,0.0,11976.0
12688.0,0.0,12570.0
14072.0,0.0,14110.0
15169.0,0.0,15291.0
15411.0,0.0,15455.0
15584.0,0.0,15558.0
15750.0,0.0,15572.0
15810.0,0.0,15603.0
15804.0,0.0,15540.0
15718.0,0.0,15562.0
15617.0,0.0,15373.0
15424.0,0.0,15215.0
15337.0,0.0,15147.0
15455.0,0.0,15180.0
15590.0,0.0,15404.0
15848.0,0.0,16129.0
15555.0,0.0,15940.0
15162.0,0.0,15464.0
14538.0,0.0,14544.0
13574.0,0.0,13564.0
12779.0,0.0,12766.0
12271.0,0.0,12159.0
12016.0,0.0,11972.0
11890.0,0.0,11867.0
11895.0,0.0,12021.0
12127.0,0.0,12688.0
12628.0,0.0,14072.0
13377.0,0.0,15169.0
14062.0,0.0,15411.0
14577.0,0.0,15584.0
14755.0,0.0,15750.0
14701.0,0.0,15810.0
14400.0,0.0,15804.0
14155.0,0.0,15718.0
14007.0,0.0,15617.0
13822.0,0.0,15424.0
13739.0,0.0,15337.0
13845.0,0.0,15455.0
14123.0,0.0,15590.0
14793.0,0.0,15848.0
14699.0,0.0,15555.0
14375.0,0.0,15162.0
13855.0,0.0,14538.0
13109.0,0.0,13574.0
12400.0,0.0,12779.0
12098.0,0.0,12271.0
11976.0,0.0,12016.0
11896.0,0.0,11890.0
11938.0,0.0,11895.0
12152.0,0.0,12127.0
12505.0,0.0,12628.0
13089.0,0.0,13377.0
13682.0,0.0,14062.0
13947.0,0.0,14577.0
13747.0,0.0,14755.0
13492.0,0.0,14701.0
13395.0,0.0,14400.0
13124.0,0.0,14155.0
12893.0,0.0,14007.0
12695.0,0.0,13822.0
12691.0,0.0,13739.0
12814.0,0.0,13845.0
13336.0,0.0,14123.0
14425.0,0.0,14793.0
14688.0,0.0,14699.0
14372.0,0.0,14375.0
13900.0,0.0,13855.0
13241.0,0.0,13109.0
12830.0,0.0,12400.0
12584.0,0.0,12098.0
12576.0,0.0,11976.0
12655.0,0.0,11896.0
12942.0,0.0,11938.0
13815.0,0.0,12152.0
15509.0,0.0,12505.0
16596.0,0.0,13089.0
16756.0,0.0,13682.0
16831.0,0.0,13947.0
16794.0,0.0,13747.0
16729.0,0.0,13492.0
16654.0,0.0,13395.0
16589.0,0.0,13124.0
16408.0,0.0,12893.0
16246.0,0.0,12695.0
16279.0,0.0,12691.0
16469.0,0.0,12814.0
16745.0,0.0,13336.0
17003.0,0.0,14425.0
16698.0,0.0,14688.0
16115.0,0.0,14372.0
15152.0,0.0,13900.0
14044.0,0.0,13241.0
13133.0,0.0,12830.0
12687.0,0.0,12584.0
12414.0,0.0,12576.0
12456.0,0.0,12655.0
12469.0,0.0,12942.0
13163.0,0.0,13815.0
14579.0,0.0,15509.0
15658.0,0.0,16596.0
15765.0,0.0,16756.0
15761.0,0.0,16831.0
15897.0,0.0,16794.0
15883.0,0.0,16729.0
15817.0,0.0,16654.0
15855.0,0.0,16589.0
15593.0,0.0,16408.0
15353.0,0.0,16246.0
15425.0,0.0,16279.0
15354.0,0.0,16469.0
15596.0,0.0,16745.0
16161.0,0.0,17003.0
16005.0,0.0,16698.0
15622.0,0.0,16115.0
14685.0,0.0,15152.0
13664.0,0.0,14044.0
12799.0,0.0,13133.0
12321.0,0.0,12687.0
12096.0,0.0,12414.0
11896.0,0.0,12456.0
12017.0,0.0,12469.0
12693.0,0.0,13163.0
14110.0,0.0,14579.0
15276.0,0.0,15658.0
15406.0,0.0,15765.0
15466.0,0.0,15761.0
15482.0,0.0,15897.0
15509.0,0.0,15883.0
15497.0,0.0,15817.0
15475.0,0.0,15855.0
15502.0,0.0,15593.0
15264.0,0.0,15353.0
15265.0,0.0,15425.0
15247.0,0.0,15354.0
15562.0,0.0,15596.0
16076.0,0.0,16161.0
15916.0,0.0,16005.0
15416.0,0.0,15622.0
14511.0,0.0,14685.0
13365.0,0.0,13664.0
12598.0,0.0,12799.0
12148.0,0.0,12321.0
11764.0,0.0,12096.0
11700.0,0.0,11896.0
11823.0,0.0,12017.0
12598.0,0.0,12693.0
14139.0,0.0,14110.0
15348.0,0.0,15276.0
15356.0,0.0,15406.0
15393.0,0.0,15466.0
15485.0,0.0,15482.0
15523.0,0.0,15509.0
15403.0,0.0,15497.0
15388.0,0.0,15475.0
15128.0,0.0,15502.0
15006.0,0.0,15264.0
14943.0,0.0,15265.0
14988.0,0.0,15247.0
15340.0,0.0,15562.0
15921.0,0.0,16076.0
15886.0,0.0,15916.0
15386.0,0.0,15416.0
14437.0,0.0,14511.0
13446.0,0.0,13365.0
12627.0,0.0,12598.0
12233.0,0.0,12148.0
11969.0,0.0,11764.0
11913.0,0.0,11700.0
12151.0,0.0,11823.0
12848.0,0.0,12598.0
14310.0,0.0,14139.0
15556.0,0.0,15348.0
15588.0,0.0,15356.0
15655.0,0.0,15393.0
15639.0,0.0,15485.0
15517.0,0.0,15523.0
15404.0,0.0,15403.0
15269.0,0.0,15388.0
15177.0,0.0,15128.0
14828.0,0.0,15006.0
14695.0,0.0,14943.0
14610.0,0.0,14988.0
14790.0,0.0,15340.0
15311.0,0.0,15921.0
15066.0,0.0,15886.0
14755.0,0.0,15386.0
14110.0,0.0,14437.0
13264.0,0.0,13446.0
12363.0,0.0,12627.0
11960.0,0.0,12233.0
11601.0,0.0,11969.0
11565.0,0.0,11913.0
11600.0,0.0,12151.0
11849.0,0.0,12848.0
12425.0,0.0,14310.0
13119.0,0.0,15556.0
13648.0,0.0,15588.0
14158.0,0.0,15655.0
14369.0,0.0,15639.0
14233.0,0.0,15517.0
14022.0,0.0,15404.0
13939.0,0.0,15269.0
13665.0,0.0,15177.0
